"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","143","Reserva da Cantareira","3/1/2020 - 3/31/2020, Every day, Daily Average",1790,1430,2239
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","144","Mandaqui","3/1/2020 - 3/31/2020, Every day, Daily Average",961,707,1304
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","145","Horto Florestal","3/1/2020 - 3/31/2020, Every day, Daily Average",1300,985,1714
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","146","ETA Guaraú","3/1/2020 - 3/31/2020, Every day, Daily Average",1738,1422,2123
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","147","Parque Palmas do Tremembé","3/1/2020 - 3/31/2020, Every day, Daily Average",1298,994,1694
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","148","Tremembé","3/1/2020 - 3/31/2020, Every day, Daily Average",1264,957,1669
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","149","Cantareira","3/1/2020 - 3/31/2020, Every day, Daily Average",1841,1335,2536
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","150","Jardim das Pedras","3/1/2020 - 3/31/2020, Every day, Daily Average",1745,1225,2483
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","151","Jardim Guapira","3/1/2020 - 3/31/2020, Every day, Daily Average",1374,1035,1824
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","152","Parada Inglesa","3/1/2020 - 3/31/2020, Every day, Daily Average",706,537,926
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","153","Tucuruvi","3/1/2020 - 3/31/2020, Every day, Daily Average",1006,766,1321
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","154","Vila Gustavo","3/1/2020 - 3/31/2020, Every day, Daily Average",962,731,1265
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","155","Cohab Jova Rural","3/1/2020 - 3/31/2020, Every day, Daily Average",1536,1016,2320
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","156","Jaçanã","3/1/2020 - 3/31/2020, Every day, Daily Average",1267,898,1787
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","157","Parque Edu Chaves","3/1/2020 - 3/31/2020, Every day, Daily Average",1314,832,2074
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","158","Vila Medeiros","3/1/2020 - 3/31/2020, Every day, Daily Average",1030,766,1383
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","159","Jardim Brasil","3/1/2020 - 3/31/2020, Every day, Daily Average",1400,909,2155
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","160","Jardim Japão","3/1/2020 - 3/31/2020, Every day, Daily Average",1035,703,1523
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","161","Parque Novo Mundo","3/1/2020 - 3/31/2020, Every day, Daily Average",857,519,1412
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","162","Vila Maria","3/1/2020 - 3/31/2020, Every day, Daily Average",873,511,1490
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","163","Vila Isolina Mazzei","3/1/2020 - 3/31/2020, Every day, Daily Average",492,353,684
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","164","Vila Guilherme","3/1/2020 - 3/31/2020, Every day, Daily Average",655,398,1076
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","165","Coroa","3/1/2020 - 3/31/2020, Every day, Daily Average",254,143,450
